ip,port,protocol,country,anonymity,latency_ms,speed_kbps,score,last_seen
68.183.88.189,3129,http,IN,elite,1120,0.1,19.1,2026-09-24T07:07:54.702538+00:00
167.172.84.23,3128,http,SG,elite,2832,,19.1,2026-09-24T07:07:54.692662+00:00
5.42.111.165,10808,http,RU,elite,6921,0.0,18.1,2026-09-24T07:07:54.691604+00:00
150.241.245.249,8080,http,IN,elite,2518,,16.9,2026-09-24T07:07:54.685596+00:00
67.207.92.87,1088,socks5,US,elite,426,0.3,14.9,2026-09-24T07:07:54.697977+00:00
69.87.216.54,7989,http,US,anonymous,452,0.3,14.9,2026-09-24T07:07:54.684083+00:00
43.156.166.134,8080,http,SG,anonymous,942,0.2,14.9,2026-09-24T07:07:54.685468+00:00
114.246.192.183,8888,http,CN,anonymous,1226,,14.9,2026-09-24T07:07:54.702696+00:00
168.144.72.32,1080,socks5,IN,elite,1284,0.1,14.9,2026-09-24T07:07:54.697486+00:00
45.194.33.12,30002,socks5,HK,elite,1294,0.1,14.9,2026-09-24T07:07:54.695452+00:00
171.25.158.95,1080,socks5,SE,elite,1577,0.1,14.9,2026-09-24T07:07:54.698600+00:00
51.170.133.249,80,http,MA,elite,2058,,14.9,2026-09-24T07:07:54.687501+00:00
43.156.248.220,80,http,SG,elite,2201,,14.9,2026-09-24T07:07:54.702484+00:00
123.231.230.58,31196,socks4,ID,elite,3130,0.0,14.9,2026-09-24T07:07:54.680576+00:00
45.74.31.30,8265,socks5,NL,anonymous,5647,0.0,14.9,2026-09-24T07:07:54.695786+00:00
212.154.169.90,3128,http,KZ,elite,1673,,14.8,2026-09-24T07:07:54.702481+00:00
194.182.187.78,3128,http,AT,elite,2532,,14.8,2026-09-24T07:07:54.702382+00:00
103.164.55.81,3128,http,SG,elite,2469,,14.7,2026-09-24T07:07:54.702626+00:00
158.101.15.1,443,socks5,US,elite,1883,0.1,14.6,2026-09-24T07:07:54.695877+00:00
114.244.217.102,8888,http,CN,anonymous,1251,,14.5,2026-09-24T07:07:54.702724+00:00
77.85.171.92,4153,socks4,BG,elite,1611,0.1,14.3,2026-09-24T07:07:54.667346+00:00
157.90.113.23,9052,socks4,DE,elite,594,0.2,14.1,2026-09-24T07:07:55.020104+00:00
45.194.3.119,8080,http,IN,elite,2295,,13.8,2026-09-24T07:07:54.690382+00:00
45.74.31.22,13298,socks5,NL,anonymous,3328,0.0,11.8,2026-09-24T07:07:54.699405+00:00
200.229.65.172,3128,http,BR,elite,1909,,11.7,2026-09-24T07:07:54.685772+00:00
46.146.220.180,1080,socks5,RU,anonymous,2837,,11.4,2026-09-24T07:07:54.674643+00:00
67.210.146.50,11080,socks5,US,elite,445,,9.9,2026-09-24T07:07:54.851753+00:00
185.157.111.3,5678,socks4,EE,elite,452,0.3,9.9,2026-09-24T07:07:54.682236+00:00
189.203.181.34,1080,socks4,MX,elite,472,,9.9,2026-09-24T07:07:54.678510+00:00
95.178.108.189,5678,socks4,FR,anonymous,634,0.2,9.9,2026-09-24T07:07:54.680113+00:00
46.151.113.10,5678,socks4,PL,anonymous,653,,9.9,2026-09-24T07:07:54.667332+00:00
45.238.57.1,3629,socks4,EC,elite,740,0.2,9.9,2026-09-24T07:07:54.680777+00:00
212.103.118.77,5678,socks4,RU,anonymous,816,,9.9,2026-09-24T07:07:54.667299+00:00
